30 -4 2000          	-1.458896e-03	1.106173e-02	-2.786715e-01	-1.407947e-01	-1.378769e-01
30 -2 2000          	-1.524409e-03	5.287058e-03	-1.270208e-01	-6.503479e-02	-6.198597e-02
30 0 2000          	8.428768e-04	3.274016e-03	2.497861e-02	1.333218e-02	1.164643e-02
30 2 2000          	1.599328e-03	5.284728e-03	1.681511e-01	8.567486e-02	8.247621e-02
30 4 2000          	3.049963e-03	1.109024e-02	3.128217e-01	1.594608e-01	1.533609e-01
30 6 2000          	5.800221e-03	2.054229e-02	4.625120e-01	2.370562e-01	2.254558e-01
30 8 2000          	5.660172e-03	3.353808e-02	6.030107e-01	3.071655e-01	2.958452e-01
30 10 2000          	6.884644e-03	5.019406e-02	7.419724e-01	3.778708e-01	3.641015e-01
30 11 2000          	8.022661e-03	6.032389e-02	8.134893e-01	4.147673e-01	3.987220e-01
30 12 2000          	7.886236e-03	7.119015e-02	8.785993e-01	4.471859e-01	4.314134e-01
30 13 2000          	8.389375e-03	8.280516e-02	9.546108e-01	4.856948e-01	4.689160e-01
30 14 2000          	9.505673e-03	9.492660e-02	1.020635e+00	5.198234e-01	5.008120e-01
30 15 2000          	9.290513e-03	1.080629e-01	1.089006e+00	5.537935e-01	5.352125e-01
30 16 2000          	1.131732e-02	1.231096e-01	1.163883e+00	5.932587e-01	5.706241e-01
35 -4 2000          	-1.686674e-03	1.060524e-02	-2.802666e-01	-1.418200e-01	-1.384466e-01
35 -2 2000          	-6.672929e-04	4.553645e-03	-1.254259e-01	-6.338022e-02	-6.204564e-02
35 0 2000          	1.000585e-03	2.380079e-03	2.633076e-02	1.416597e-02	1.216480e-02
35 2 2000          	3.868678e-03	5.102935e-03	1.802756e-01	9.400648e-02	8.626913e-02
35 4 2000          	4.396171e-03	1.099966e-02	3.170924e-01	1.629424e-01	1.541500e-01
35 6 2000          	5.730001e-03	1.962849e-02	4.621350e-01	2.367975e-01	2.253375e-01
35 8 2000          	5.865055e-03	3.292780e-02	6.008826e-01	3.063064e-01	2.945763e-01
